Copy texture to memory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.693088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.693504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.694144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.69232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Post Effects, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000512, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000288, 0.000256, 0.000288, 0.000288, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.002784, 0.00064, 0.00064, 0.00064, 0.00064, 0.000608, 0.00064, 0.000608, 0.000608, 0.00064, 0.00064, 0.00064, 0.00064, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000288, 0.000256, 0.000288, 0.000512, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000288, 0.000256, 0.000256, 0.000768, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000256, 0.000288, 0.000256, 0.000288, 
Present, 0.170976, 0.17296, 0.181472, 0.184256, 0.183776, 0.191072, 0.197952, 0.18496, 0.183744, 0.178816, 0.184576, 0.180704, 0.182272, 0.179392, 0.199712, 0.170656, 0.18064, 0.182368, 0.17376, 0.179264, 0.180448, 0.2024, 0.182272, 0.18432, 0.183904, 0.179584, 0.182592, 0.181472, 0.180928, 0.173216, 0.181408, 0.180896, 0.182016, 0.179104, 0.184832, 0.179072, 0.177216, 0.178592, 0.172576, 0.162944, 0.176352, 0.179008, 0.182016, 0.176416, 0.188992, 0.182656, 0.18, 0.180768, 0.18064, 0.180032, 0.186112, 0.1968, 0.205952, 0.180864, 0.176832, 0.1808, 0.180992, 0.17424, 0.184288, 0.190336, 0.18672, 0.180608, 0.18176, 0.181472, 0.203872, 0.18144, 0.180896, 0.177696, 0.17616, 0.179136, 0.2016, 0.19696, 0.180512, 0.18192, 0.17696, 0.182176, 0.184128, 0.18288, 0.182752, 0.184736, 0.175648, 0.175776, 0.177632, 0.186752, 0.16976, 0.170592, 0.173088, 0.311488, 0.175712, 0.161056, 0.265344, 0.163904, 0.168736, 0.174848, 0.179296, 0.181152, 0.17248, 0.181728, 0.18512, 0.187872, 0.187264, 0.184544, 0.180576, 0.18144, 0.173856, 0.202624, 0.181664, 0.183168, 0.188288, 0.182016, 0.182592, 0.304352, 0.188448, 0.188928, 0.178528, 0.179744, 0.192768, 0.192544, 0.182752, 0.176192, 0.17664, 0.180608, 0.182016, 0.12736, 0.145504, 0.173472, 0.15776, 0.157312, 0.158048, 0.162336, 0.1608, 0.1632, 0.164672, 0.166656, 0.188896, 0.178592, 0.168928, 0.178688, 0.180768, 0.185152, 0.199712, 0.199744, 0.17968, 0.178912, 0.18048, 0.172064, 0.178464, 0.183232, 0.178656, 0.179968, 0.16544, 0.178848, 0.181792, 0.176736, 0.180608, 0.179296, 0.180096, 0.176832, 0.180448, 0.175936, 0.179776, 0.180544, 0.17648, 0.173376, 0.178432, 0.179744, 0.200288, 0.180448, 0.214048, 0.165824, 0.2872, 0.165376, 0.181696, 0.164448, 0.289344, 0.154656, 0.16448, 0.167488, 0.33968, 0.344896, 0.16432, 0.164352, 0.760096, 0.770368, 0.79072, 0.920768, 0.772096, 2.07245, 2.02752, 2.07034, 2.07002, 2.08426, 2.10573, 2.01856, 0.530144, 0.18032, 0.1728, 0.1736, 0.172192, 0.182304, 0.276768, 0.165056, 0.180096, 0.178048, 0.180928, 0.17776, 0.185216, 0.167136, 0.163136, 0.172288, 0.183072, 0.182176, 0.179072, 0.211008, 0.181312, 0.176992, 0.17904, 0.178592, 0.181088, 0.19696, 0.19552, 0.215008, 0.185824, 0.178464, 0.177696, 0.173952, 0.180864, 0.181088, 0.176576, 0.183488, 0.194048, 0.187808, 0.184832, 0.188288, 0.188352, 0.256512, 0.40112, 0.170752, 0.156416, 0.191904, 0.209888, 0.187488, 0.196224, 0.165248, 0.129248, 0.17312, 0.162464, 0.16736, 0.167872, 0.1608, 0.178304, 0.162048, 0.165472, 0.163808, 0.168768, 0.17456, 0.19616, 0.179232, 0.190208, 0.173408, 0.175328, 0.198688, 0.177728, 0.176864, 0.184384, 0.205184, 0.18064, 0.186144, 0.184544, 0.181664, 0.176128, 0.177408, 0.17904, 0.176992, 0.19808, 0.1768, 0.173632, 0.177536, 0.175808, 0.176608, 0.177472, 0.176672, 0.177824, 0.176992, 0.1944, 0.176064, 0.178976, 0.17488, 0.179552, 0.176416, 0.179936, 0.1752, 0.186464, 0.182144, 0.175904, 0.173248, 0.21664, 0.157312, 0.177824, 0.159328, 0.187008, 0.176192, 0.34976, 0.129472, 0.127488, 0.156, 0.165792, 0.158944, 0.161248, 0.159264, 0.158784, 0.163136, 0.232416, 0.17152, 0.175392, 0.179264, 0.175552, 0.185248, 0.196064, 0.180992, 0.15808, 0.158944, 0.172256, 0.153568, 0.17184, 0.16496, 0.163232, 0.163424, 0.162784, 0.16144, 0.166304, 0.129312, 
Render UI, 0.005888, 0.00576, 0.005728, 0.005888, 0.005888, 0.007168, 0.006528, 0.005728, 0.005888, 0.00576, 0.005568, 0.005568, 0.005568, 0.006048, 0.005888, 0.00576, 0.005888, 0.005728, 0.005728, 0.005888, 0.005888, 0.00592, 0.006048, 0.00624, 0.005728, 0.005568, 0.005888, 0.005408, 0.005248, 0.005728, 0.00576, 0.005248, 0.006208, 0.005888, 0.00592, 0.006048, 0.005888, 0.005728, 0.005088, 0.005728, 0.005568, 0.005888, 0.00592, 0.005888, 0.005728, 0.006048, 0.005728, 0.00576, 0.006048, 0.00608, 0.00608, 0.005888, 0.005888, 0.005568, 0.005728, 0.00592, 0.005728, 0.005728, 0.00592, 0.005728, 0.005728, 0.00592, 0.005728, 0.006208, 0.00592, 0.005728, 0.006368, 0.006208, 0.005888, 0.00576, 0.006048, 0.005888, 0.00528, 0.005888, 0.005888, 0.005728, 0.006048, 0.00592, 0.005216, 0.006048, 0.005728, 0.005888, 0.00592, 0.005728, 0.005728, 0.006688, 0.007168, 0.006208, 0.00576, 0.0056, 0.005728, 0.005888, 0.00608, 0.005888, 0.0072, 0.00704, 0.006528, 0.006048, 0.00592, 0.006048, 0.00608, 0.005728, 0.006688, 0.006688, 0.00592, 0.00576, 0.005728, 0.005728, 0.005888, 0.00592, 0.00608, 0.00592, 0.00592, 0.005888, 0.0056, 0.00592, 0.00576, 0.005728, 0.00592, 0.005888, 0.005728, 0.007168, 0.007808, 0.00656, 0.005728, 0.005632, 0.00592, 0.005728, 0.005728, 0.00608, 0.00608, 0.005568, 0.005888, 0.005888, 0.005728, 0.005888, 0.005888, 0.005888, 0.00592, 0.005888, 0.005728, 0.005536, 0.005728, 0.00576, 0.005888, 0.00592, 0.006048, 0.00576, 0.005728, 0.005248, 0.005888, 0.005888, 0.005888, 0.005728, 0.00592, 0.005888, 0.005728, 0.00592, 0.005888, 0.006048, 0.006048, 0.00624, 0.00592, 0.0056, 0.005888, 0.00592, 0.00592, 0.00608, 0.005728, 0.00512, 0.005728, 0.005888, 0.005728, 0.006688, 0.00608, 0.00576, 0.006848, 0.0064, 0.006048, 0.00576, 0.006688, 0.007008, 0.024832, 0.02032, 0.020704, 0.020736, 0.019936, 0.016608, 0.017344, 0.01664, 0.01696, 0.017056, 0.017312, 0.01664, 0.01664, 0.005248, 0.005568, 0.0056, 0.0056, 0.006208, 0.005888, 0.006208, 0.005888, 0.00544, 0.00576, 0.0056, 0.005888, 0.005728, 0.005888, 0.00576, 0.00592, 0.005888, 0.005888, 0.005888, 0.005248, 0.005728, 0.005728, 0.006208, 0.005696, 0.005248, 0.005568, 0.00576, 0.005728, 0.005728, 0.00576, 0.005888, 0.005728, 0.005728, 0.005408, 0.005888, 0.006048, 0.005888, 0.005568, 0.008768, 0.006368, 0.006528, 0.007968, 0.007008, 0.00592, 0.005728, 0.005728, 0.007712, 0.007808, 0.006432, 0.005792, 0.00544, 0.005568, 0.00592, 0.00592, 0.0056, 0.00576, 0.00592, 0.006048, 0.00624, 0.005728, 0.005888, 0.0056, 0.005248, 0.005728, 0.005888, 0.005728, 0.005728, 0.006048, 0.00592, 0.00576, 0.00512, 0.005888, 0.006048, 0.005888, 0.005728, 0.005888, 0.006048, 0.005568, 0.005856, 0.005248, 0.005568, 0.005568, 0.005728, 0.00576, 0.005728, 0.005888, 0.005568, 0.005408, 0.005568, 0.005728, 0.005728, 0.005728, 0.005888, 0.005568, 0.005728, 0.00592, 0.005728, 0.005888, 0.005568, 0.0056, 0.005568, 0.005728, 0.005728, 0.005728, 0.005568, 0.00576, 0.007168, 0.007808, 0.006304, 0.005792, 0.005728, 0.005568, 0.0056, 0.005888, 0.005408, 0.00576, 0.005728, 0.005888, 0.005728, 0.005728, 0.005728, 0.00576, 0.005888, 0.00576, 0.005728, 0.005728, 0.006368, 0.005728, 0.006208, 0.00592, 0.00624, 0.005728, 0.005568, 0.005888, 0.00576, 0.005728, 0.005568, 
Scene Render, 2.73686, 2.14877, 3.32886, 2.66797, 3.1937, 2.75626, 3.21178, 2.68166, 3.20672, 2.66637, 3.20339, 2.65222, 3.19075, 2.68419, 3.20538, 2.66317, 3.20906, 2.64806, 3.19539, 2.64573, 3.1896, 2.67574, 3.21254, 2.6544, 3.21427, 2.67165, 3.18899, 2.66176, 3.21146, 2.69456, 3.18941, 2.65478, 3.21331, 2.68736, 3.19418, 2.66698, 3.2128, 2.6505, 3.19946, 2.65693, 3.18886, 2.71126, 3.18762, 2.67117, 3.20467, 2.65184, 3.20554, 2.65203, 3.23066, 2.68717, 3.21066, 2.64352, 3.2049, 2.66931, 3.1952, 2.66288, 3.21846, 2.66061, 3.19472, 2.66016, 3.20842, 2.67885, 3.21296, 2.65706, 3.18576, 2.65408, 3.21283, 2.64864, 3.21821, 2.67981, 3.21293, 2.66803, 3.21258, 2.67459, 3.2217, 2.65773, 3.20067, 2.6399, 3.21126, 2.6696, 3.20294, 2.65923, 3.15203, 2.65674, 3.09523, 2.35325, 3.26448, 2.83798, 3.28989, 2.74029, 3.22842, 2.67296, 3.21286, 2.66762, 3.25168, 2.72275, 3.23606, 2.67955, 3.22845, 2.69139, 3.21792, 2.67434, 3.2257, 2.70195, 3.24998, 2.70886, 3.21696, 2.67846, 3.20989, 2.68035, 3.22118, 2.67696, 3.25907, 2.70368, 3.22931, 2.7128, 3.21008, 2.67232, 3.23635, 2.67264, 3.22528, 2.69882, 3.21699, 2.71747, 2.97114, 2.50973, 3.28102, 2.76659, 3.33632, 2.70979, 3.25094, 2.72541, 3.27098, 2.8392, 3.22816, 2.70515, 3.28717, 2.65194, 3.28358, 2.63555, 3.14883, 2.58982, 3.09587, 2.60858, 3.10714, 2.55722, 3.03606, 2.56618, 3.18806, 2.5336, 3.14954, 2.50886, 3.11126, 2.49379, 3.11658, 2.53139, 2.93347, 2.4761, 2.88838, 2.40243, 2.80342, 2.34397, 2.76691, 2.35254, 2.77219, 2.3255, 2.7375, 2.33939, 2.70954, 2.31146, 2.6801, 2.29792, 2.68285, 2.28992, 2.60445, 2.01642, 2.70861, 2.34362, 2.59546, 2.24842, 2.52368, 2.17274, 2.47603, 10.5131, 12.4086, 11.6584, 11.4261, 10.4232, 11.1511, 10.3049, 11.0181, 10.2657, 10.8606, 10.1164, 10.6983, 2.07507, 2.30058, 2.03402, 2.26243, 2.03126, 2.26528, 2.01971, 2.20538, 1.99136, 2.17408, 1.99869, 2.14576, 1.98774, 2.15722, 1.98733, 2.09984, 1.93955, 2.04893, 1.92032, 2.01846, 1.89149, 1.98243, 1.86602, 1.94016, 1.84762, 1.91795, 1.84746, 1.90269, 1.82342, 1.87786, 1.80374, 1.84282, 1.79293, 1.82202, 1.76339, 1.78736, 1.74634, 1.77661, 1.55469, 1.77984, 1.7593, 1.79827, 1.77757, 1.77706, 1.75402, 1.76854, 1.75542, 1.74538, 1.52525, 1.51619, 1.52445, 1.71827, 1.72134, 1.71536, 1.71277, 1.70989, 1.70739, 1.70218, 1.70576, 1.69222, 1.7007, 1.68912, 1.70074, 1.69645, 1.70381, 1.70509, 1.71782, 1.70413, 1.74781, 1.69949, 1.73542, 1.75098, 1.76714, 1.7641, 1.78118, 1.76979, 1.78096, 1.77626, 1.78867, 1.77632, 1.83219, 1.79091, 1.79414, 1.79194, 1.81002, 1.80998, 1.8239, 1.81645, 1.83075, 1.82243, 1.83338, 1.82749, 1.8377, 1.83616, 1.84669, 1.84822, 1.85789, 1.91229, 1.8713, 1.87597, 1.89088, 1.89968, 1.89808, 1.92854, 1.90864, 1.9519, 1.9536, 2.01053, 1.77734, 1.81712, 1.79363, 2.08992, 2.06013, 2.11002, 2.04259, 2.11565, 2.02474, 2.14992, 2.03504, 2.14909, 2.04787, 2.19085, 2.10483, 2.2705, 2.1431, 2.31066, 2.16947, 2.31485, 2.20838, 2.36573, 2.25155, 2.35168, 2.2376, 2.36723, 2.23648, 2.42259, 2.27002, 
